Time,OD,Strain,Environment
63.36844444,0.674000025,TUB0,LB
63.54644444,0.674499989,TUB0,LB
63.72444444,0.674300015,TUB0,LB
63.90244444,0.675700009,TUB0,LB
64.08044444,0.675599992,TUB0,LB
64.25844444,0.675599992,TUB0,LB
64.43644444,0.676699996,TUB0,LB
64.61444444,0.676500022,TUB0,LB
64.79244444,0.676900029,TUB0,LB
64.97044444,0.677699983,TUB0,LB
65.14844444,0.6778,TUB0,LB
65.32644444,0.6778,TUB0,LB
65.50444444,0.67809999,TUB0,LB
65.68244444,0.679400027,TUB0,LB
65.86047222,0.678900003,TUB0,LB
66.03847222,0.678200006,TUB0,LB
66.21647222,0.679199994,TUB0,LB
66.39447222,0.680100024,TUB0,LB
66.57247222,0.679499984,TUB0,LB
66.75047222,0.680299997,TUB0,LB
66.92847222,0.681100011,TUB0,LB
67.10647222,0.680899978,TUB0,LB
67.28447222,0.681900024,TUB0,LB
67.46247222,0.681800008,TUB0,LB
67.64047222,0.680899978,TUB0,LB
67.81847222,0.682200015,TUB0,LB
67.99647222,0.682399988,TUB0,LB
68.17447222,0.681500018,TUB0,LB
68.35247222,0.683000028,TUB0,LB
68.53047222,0.683300018,TUB0,LB
68.70847222,0.682699978,TUB0,LB
68.88647222,0.683200002,TUB0,LB
69.06447222,0.683600008,TUB0,LB
69.24247222,0.683300018,TUB0,LB
69.42047222,0.684099972,TUB0,LB
69.59847222,0.684599996,TUB0,LB
69.77647222,0.683700025,TUB0,LB
69.95447222,0.685000002,TUB0,LB
70.13247222,0.685100019,TUB0,LB
70.3105,0.684300005,TUB0,LB
70.4885,0.684300005,TUB0,LB
70.6665,0.684899986,TUB0,LB
70.8445,0.684300005,TUB0,LB
71.0225,0.685199976,TUB0,LB
71.2005,0.685199976,TUB0,LB
71.3785,0.684700012,TUB0,LB
71.5565,0.685699999,TUB0,LB
71.7345,0.685199976,TUB0,LB
71.9125,0.683799982,TUB0,LB
72.0905,0.684599996,TUB0,LB
72.2685,0.684499979,TUB0,LB
72.4465,0.683200002,TUB0,LB
72.6245,0.684300005,TUB0,LB
72.8025,0.683799982,TUB0,LB
72.9805,0.683300018,TUB0,LB
73.1585,0.682399988,TUB0,LB
73.3365,0.682799995,TUB0,LB
73.5145,0.681200027,TUB0,LB
73.6925,0.681200027,TUB0,LB
73.8705,0.680800021,TUB0,LB
74.0485,0.679199994,TUB0,LB
74.2265,0.678799987,TUB0,LB
74.4045,0.67750001,TUB0,LB
74.5825,0.677100003,TUB0,LB
74.7605,0.676699996,TUB0,LB
74.9385,0.675899982,TUB0,LB
75.1165,0.674700022,TUB0,LB
75.2945,0.675599992,TUB0,LB
75.47252778,0.674499989,TUB0,LB
75.6505,0.673300028,TUB0,LB
75.82852778,0.671599984,TUB0,LB
76.00652778,0.672699988,TUB0,LB
76.18452778,0.671000004,TUB0,LB
76.36252778,0.670099974,TUB0,LB
76.5405,0.670400023,TUB0,LB
76.71852778,0.669200003,TUB0,LB
76.89652778,0.668200016,TUB0,LB
77.07452778,0.667500019,TUB0,LB
77.25252778,0.667299986,TUB0,LB
77.43052778,0.666800022,TUB0,LB
77.60852778,0.666100025,TUB0,LB
77.78652778,0.665199995,TUB0,LB
77.96452778,0.664300025,TUB0,LB
78.14252778,0.665199995,TUB0,LB
78.32052778,0.665099978,TUB0,LB
78.49852778,0.664099991,TUB0,LB
78.67652778,0.663900018,TUB0,LB
78.85452778,0.664699972,TUB0,LB
79.03252778,0.663600028,TUB0,LB
79.21052778,0.664300025,TUB0,LB
79.38852778,0.663200021,TUB0,LB
79.56652778,0.663200021,TUB0,LB
79.74452778,0.663699985,TUB0,LB
79.92255556,0.663699985,TUB0,LB
80.10052778,0.663200021,TUB0,LB
80.27855556,0.663800001,TUB0,LB
80.45655556,0.663600028,TUB0,LB
80.63452778,0.663600028,TUB0,LB
80.81255556,0.664099991,TUB0,LB
80.99052778,0.664200008,TUB0,LB
81.16855556,0.663399994,TUB0,LB
81.34655556,0.664300025,TUB0,LB
81.52455556,0.663999975,TUB0,LB
81.70255556,0.664499998,TUB0,LB
81.88052778,0.663900018,TUB0,LB
82.05855556,0.663999975,TUB0,LB
82.23655556,0.664499998,TUB0,LB
82.41455556,0.664200008,TUB0,LB
82.59255556,0.664799988,TUB0,LB
82.77055556,0.665499985,TUB0,LB
82.94855556,0.664699972,TUB0,LB
83.12655556,0.665400028,TUB0,LB
83.30455556,0.665899992,TUB0,LB
83.48255556,0.664499998,TUB0,LB
83.66055556,0.666599989,TUB0,LB
83.83855556,0.666199982,TUB0,LB
84.01655556,0.665400028,TUB0,LB
84.19455556,0.667200029,TUB0,LB
84.37255556,0.666599989,TUB0,LB
84.55055556,0.667100012,TUB0,LB
84.72855556,0.667100012,TUB0,LB
